Date,Close/Last,compound,negative,neutral,positive,Open,High,Low,Volume
2015-01-02,27.33,0.1943,0.116,0.749,0.135,27.85,27.86,26.84,212575080
2015-01-05,26.56,0.9748,0.061,0.831,0.107,27.07,27.16,26.35,256843520
2015-01-06,26.57,0.9932,0.034,0.862,0.105,26.64,26.86,26.16,262729000
2015-01-07,26.94,0.9866,0.059,0.812,0.129,26.8,27.05,26.67,159933400
2015-01-08,27.97,0.4939,0.059,0.827,0.114,27.31,28.04,27.18,236675040
2015-01-09,28.0,0.9107,0.084,0.806,0.11,28.17,28.31,27.55,214582920
2015-01-12,27.31,0.9609,0.101,0.774,0.125,28.15,28.16,27.2,198284680
2015-01-13,27.56,0.9984,0.027,0.824,0.149,27.86,28.2,27.23,267879920
2015-01-14,27.45,0.9728,0.073,0.829,0.098,27.26,27.62,27.13,194912760
2015-01-15,26.71,0.8521,0.078,0.828,0.094,27.5,27.52,26.67,239233880
2015-01-16,26.5,0.9895,0.047,0.842,0.111,26.76,26.9,26.3,313813320
2015-01-20,27.18,0.8979,0.067,0.851,0.082,26.96,27.24,26.63,198969280
2015-01-21,27.39,0.9905,0.031,0.871,0.098,27.24,27.77,27.07,193931440
2015-01-22,28.1,0.9296,0.062,0.849,0.089,27.57,28.12,27.43,214869760
2015-01-23,28.25,0.9957,0.05,0.837,0.114,28.08,28.44,27.88,185680080
2015-01-26,28.28,0.9988,0.033,0.837,0.13,28.44,28.59,28.2,221829680
2015-01-27,27.29,0.9911,0.049,0.861,0.09,28.11,28.12,27.26,369306560
2015-01-28,28.83,0.9984,0.031,0.834,0.135,29.41,29.53,28.83,584737200
2015-01-29,29.73,0.9945,0.048,0.845,0.108,29.08,29.8,28.89,336528520
2015-01-30,29.29,0.9962,0.05,0.8,0.15,29.6,30.0,29.21,334587200
2015-02-02,29.66,0.979,0.039,0.88,0.081,29.51,29.79,29.02,250169760
2015-02-03,29.66,0.9972,0.02,0.883,0.097,29.63,29.77,29.4,207368320
2015-02-04,29.89,0.9954,0.04,0.855,0.105,29.63,30.13,29.58,279900720
2015-02-05,29.99,-0.34,0.127,0.805,0.068,30.01,30.06,29.81,168788440
2015-02-06,29.73,0.9858,0.029,0.885,0.086,30.01,30.06,29.61,174534640
2015-02-09,29.93,-0.2406,0.054,0.896,0.05,29.64,29.96,29.61,151603120
2015-02-10,30.51,0.4588,0.086,0.839,0.075,30.04,30.54,30.04,247381560
2015-02-11,31.22,0.9949,0.013,0.877,0.111,30.69,31.23,30.63,293112080
2015-02-12,31.62,-0.7242,0.096,0.823,0.081,31.52,31.87,31.39,297498520
2015-02-13,31.77,0.9942,0.049,0.846,0.106,31.82,31.82,31.41,215822600
2015-02-17,31.96,0.9978,0.029,0.87,0.1,31.87,32.22,31.73,252056440
2015-02-18,32.18,0.9959,0.043,0.861,0.096,31.91,32.2,31.86,178783920
2015-02-19,32.11,0.9836,0.064,0.847,0.089,32.12,32.26,32.08,149181840
2015-02-20,32.37,0.9956,0.052,0.85,0.099,32.16,32.38,32.01,195513640
2015-02-23,33.25,0.9928,0.049,0.853,0.098,32.51,33.25,32.42,292357000
2015-02-24,33.04,0.9915,0.036,0.889,0.075,33.24,33.4,32.79,276437640
2015-02-25,32.2,0.9951,0.123,0.719,0.158,32.89,32.9,32.04,298220480
2015-02-26,32.6,0.9639,0.061,0.859,0.08,32.2,32.72,31.65,364687320
2015-02-27,32.12,-0.8812,0.106,0.792,0.102,32.5,32.64,32.06,247725400
2015-03-02,32.27,0.9137,0.061,0.851,0.087,32.31,32.57,32.08,192170720
2015-03-03,32.34,0.8634,0.059,0.877,0.064,32.24,32.38,32.02,150999600
2015-03-04,32.14,0.9835,0.051,0.84,0.109,32.28,32.39,32.08,126353920
2015-03-05,31.6,-0.0772,0.035,0.937,0.028,32.15,32.19,31.44,225565120
2015-03-06,31.65,0.9141,0.059,0.884,0.057,32.1,32.34,31.57,290798720
2015-03-09,31.79,0.9953,0.024,0.857,0.119,31.99,32.39,31.27,353640960
2015-03-10,31.13,0.7096,0.095,0.745,0.161,31.6,31.81,30.95,274881440
2015-03-11,30.56,0.963,0.064,0.842,0.094,31.19,31.19,30.53,275250760
2015-03-12,31.11,0.996,0.054,0.784,0.162,30.58,31.23,30.41,192933080
2015-03-13,30.9,0.9634,0.066,0.847,0.086,31.1,31.35,30.65,206978680
2015-03-16,31.24,0.9891,0.071,0.814,0.115,30.97,31.24,30.72,143265200
2015-03-17,31.76,0.9929,0.046,0.865,0.088,31.48,31.83,31.41,203564920
2015-03-18,32.12,0.9921,0.049,0.848,0.103,31.75,32.29,31.59,260472680
2015-03-19,31.87,0.9584,0.062,0.854,0.084,32.19,32.31,31.85,182698080
2015-03-20,31.48,0.9771,0.046,0.84,0.114,32.06,32.1,31.29,274064720
2015-03-23,31.8,0.9964,0.045,0.837,0.117,31.78,31.96,31.63,150390400
2015-03-24,31.67,0.9835,0.05,0.853,0.097,31.81,32.01,31.64,130988800
2015-03-25,30.85,0.9934,0.028,0.868,0.104,31.64,31.71,30.85,206022400
2015-03-26,31.06,0.9936,0.049,0.838,0.113,30.69,31.22,30.65,189638440
2015-03-27,30.81,0.9951,0.054,0.813,0.133,31.14,31.18,30.73,157886880
2015-03-30,31.59,0.9939,0.041,0.845,0.114,31.01,31.6,31.0,187899920
2015-03-31,31.11,0.9954,0.03,0.867,0.104,31.52,31.62,31.09,168077680
2015-04-01,31.06,-0.533,0.074,0.874,0.052,31.21,31.28,30.78,161852560
2015-04-02,31.33,0.9866,0.049,0.845,0.106,31.26,31.39,31.05,128685640
2015-04-06,31.84,0.9435,0.034,0.905,0.061,31.12,31.88,31.08,147669960
2015-04-07,31.5,0.6249,0.0,0.788,0.212,31.91,32.03,31.5,139579240
2015-04-08,31.4,0.9936,0.059,0.825,0.115,31.46,31.6,31.24,149088360
2015-04-09,31.64,0.9949,0.031,0.826,0.143,31.46,31.65,31.17,128977440
2015-04-10,31.78,-0.5994,0.224,0.776,0.0,31.49,31.8,31.32,160503040
2015-04-13,31.71,0.9928,0.033,0.89,0.077,32.09,32.14,31.65,144994480
2015-04-14,31.58,0.9915,0.024,0.9,0.075,31.75,31.82,31.48,101673120
2015-04-15,31.7,0.9953,0.017,0.891,0.092,31.6,31.78,31.5,115689680
2015-04-16,31.54,0.9964,0.021,0.882,0.097,31.57,31.78,31.53,112080960
2015-04-17,31.19,0.2708,0.078,0.863,0.059,31.39,31.54,31.12,205925240
2015-04-20,31.9,0.9934,0.018,0.854,0.128,31.39,32.03,31.29,187900440
2015-04-21,31.73,0.9964,0.041,0.832,0.127,32.03,32.05,31.67,129365520
2015-04-22,32.16,0.9916,0.045,0.842,0.113,31.75,32.22,31.58,150301680
2015-04-23,32.42,0.992,0.023,0.896,0.081,32.08,32.61,32.04,182386760
2015-04-24,32.57,0.8512,0.054,0.884,0.062,32.62,32.66,32.31,176838840
2015-04-27,33.16,0.9941,0.048,0.853,0.099,33.08,33.28,32.79,380337040
2015-04-28,32.64,0.9983,0.051,0.805,0.143,33.61,33.64,32.39,474774800
2015-04-29,32.16,0.9973,0.048,0.832,0.119,32.54,32.9,32.08,252252960
2015-04-30,31.29,0.9982,0.067,0.794,0.139,31.88,31.97,31.15,331699920
2015-05-01,32.24,0.9949,0.02,0.868,0.112,31.53,32.53,31.33,229396000
2015-05-04,32.18,0.5484,0.053,0.863,0.084,32.38,32.64,32.07,203620080
2015-05-05,31.45,0.8702,0.043,0.894,0.063,32.04,32.11,31.45,196511080
2015-05-06,31.25,0.9378,0.068,0.831,0.101,31.64,31.69,30.84,288149480
2015-05-07,31.32,0.0,0.0,1.0,0.0,31.19,31.52,31.01,170615680
2015-05-08,31.91,0.9919,0.056,0.84,0.104,31.67,31.91,31.53,221895280
2015-05-11,31.58,0.9968,0.057,0.787,0.156,31.85,31.89,31.41,167682960
2015-05-12,31.47,0.9136,0.032,0.818,0.15,31.4,31.72,31.21,192293800
