Date,Close/Last,compound,negative,neutral,positive,Open,High,Low,Volume
2015-01-02,27.3325,0.1943,0.116,0.749,0.135,27.8475,27.86,26.8375,212575080
2015-01-05,26.5625,0.9748,0.061,0.831,0.107,27.0725,27.1625,26.3525,256843520
2015-01-06,26.565,0.9932,0.034,0.862,0.105,26.635,26.8575,26.1575,262729000
2015-01-07,26.9375,0.9866,0.059,0.812,0.129,26.8,27.05,26.6737,159933400
2015-01-08,27.9725,0.4939,0.059,0.827,0.114,27.3075,28.0375,27.175,236675040
2015-01-09,28.0025,0.9107,0.084,0.806,0.11,28.1675,28.3125,27.5525,214582920
2015-01-12,27.3125,0.9609,0.101,0.774,0.125,28.15,28.1575,27.2,198284680
2015-01-13,27.555,0.9984,0.027,0.824,0.149,27.8575,28.2,27.2275,267879920
2015-01-14,27.45,0.9728,0.073,0.829,0.098,27.26,27.6225,27.125,194912760
2015-01-15,26.705,0.8521,0.078,0.828,0.094,27.5,27.515,26.665,239233880
2015-01-16,26.4975,0.9895,0.047,0.842,0.111,26.7575,26.895,26.3,313813320
2015-01-20,27.18,0.8979,0.067,0.851,0.082,26.96,27.2417,26.625,198969280
2015-01-21,27.3875,0.9905,0.031,0.871,0.098,27.2375,27.765,27.0675,193931440
2015-01-22,28.1,0.9296,0.062,0.849,0.089,27.565,28.1175,27.43,214869760
2015-01-23,28.245,0.9957,0.05,0.837,0.114,28.075,28.4375,27.8825,185680080
2015-01-26,28.275,0.9988,0.033,0.837,0.13,28.435,28.5907,28.2,221829680
2015-01-27,27.285,0.9911,0.049,0.861,0.09,28.105,28.12,27.2575,369306560
2015-01-28,28.8275,0.9984,0.031,0.834,0.135,29.4063,29.53,28.8275,584737200
2015-01-29,29.725,0.9945,0.048,0.845,0.108,29.08,29.7975,28.89,336528520
2015-01-30,29.29,0.9962,0.05,0.8,0.15,29.6,30.0,29.2125,334587200
2015-02-02,29.6575,0.979,0.039,0.88,0.081,29.5125,29.7925,29.02,250169760
2015-02-03,29.6625,0.9972,0.02,0.883,0.097,29.625,29.7725,29.4025,207368320
2015-02-04,29.89,0.9954,0.04,0.855,0.105,29.625,30.1275,29.5772,279900720
2015-02-05,29.985,-0.34,0.127,0.805,0.068,30.005,30.0575,29.8125,168788440
2015-02-06,29.7325,0.9858,0.029,0.885,0.086,30.005,30.0625,29.6125,174534640
2015-02-09,29.93,-0.2406,0.054,0.896,0.05,29.6375,29.96,29.6075,151603120
2015-02-10,30.505,0.4588,0.086,0.839,0.075,30.0425,30.5375,30.04,247381560
2015-02-11,31.22,0.9949,0.013,0.877,0.111,30.6925,31.23,30.625,293112080
2015-02-12,31.615,-0.7242,0.096,0.823,0.081,31.515,31.87,31.3925,297498520
2015-02-13,31.77,0.9942,0.049,0.846,0.106,31.82,31.82,31.4125,215822600
2015-02-17,31.9575,0.9978,0.029,0.87,0.1,31.8725,32.22,31.73,252056440
2015-02-18,32.1788,0.9959,0.043,0.861,0.096,31.9063,32.195,31.8625,178783920
2015-02-19,32.1125,0.9836,0.064,0.847,0.089,32.12,32.2575,32.0825,149181840
2015-02-20,32.3738,0.9956,0.052,0.85,0.099,32.155,32.375,32.0125,195513640
2015-02-23,33.25,0.9928,0.049,0.853,0.098,32.505,33.25,32.415,292357000
2015-02-24,33.0425,0.9915,0.036,0.889,0.075,33.235,33.4,32.7925,276437640
2015-02-25,32.1975,0.9951,0.123,0.719,0.158,32.89,32.9,32.0375,298220480
2015-02-26,32.6037,0.9639,0.061,0.859,0.08,32.1962,32.7175,31.6525,364687320
2015-02-27,32.115,-0.8812,0.106,0.792,0.102,32.5,32.6425,32.06,247725400
2015-03-02,32.2725,0.9137,0.061,0.851,0.087,32.3125,32.57,32.075,192170720
2015-03-03,32.34,0.8634,0.059,0.877,0.064,32.24,32.38,32.0225,150999600
2015-03-04,32.135,0.9835,0.051,0.84,0.109,32.275,32.39,32.08,126353920
2015-03-05,31.6025,-0.0772,0.035,0.937,0.028,32.145,32.1875,31.44,225565120
2015-03-06,31.65,0.9141,0.059,0.884,0.057,32.1,32.3425,31.565,290798720
2015-03-09,31.785,0.9953,0.024,0.857,0.119,31.99,32.3925,31.265,353640960
2015-03-10,31.1275,0.7096,0.095,0.745,0.161,31.6025,31.805,30.95,274881440
2015-03-11,30.56,0.963,0.064,0.842,0.094,31.1875,31.1925,30.5275,275250760
2015-03-12,31.1125,0.996,0.054,0.784,0.162,30.5775,31.225,30.4075,192933080
2015-03-13,30.8975,0.9634,0.066,0.847,0.086,31.1,31.3488,30.645,206978680
2015-03-16,31.2375,0.9891,0.071,0.814,0.115,30.97,31.2375,30.7175,143265200
2015-03-17,31.76,0.9929,0.046,0.865,0.088,31.475,31.83,31.4125,203564920
2015-03-18,32.1175,0.9921,0.049,0.848,0.103,31.75,32.29,31.5925,260472680
2015-03-19,31.8738,0.9584,0.062,0.854,0.084,32.1875,32.3113,31.85,182698080
2015-03-20,31.475,0.9771,0.046,0.84,0.114,32.0625,32.1,31.29,274064720
2015-03-23,31.8025,0.9964,0.045,0.837,0.117,31.78,31.9625,31.63,150390400
2015-03-24,31.6725,0.9835,0.05,0.853,0.097,31.8075,32.01,31.64,130988800
2015-03-25,30.845,0.9934,0.028,0.868,0.104,31.635,31.705,30.845,206022400
2015-03-26,31.06,0.9936,0.049,0.838,0.113,30.69,31.22,30.65,189638440
2015-03-27,30.8125,0.9951,0.054,0.813,0.133,31.1425,31.175,30.7275,157886880
2015-03-30,31.5925,0.9939,0.041,0.845,0.114,31.0125,31.6,31.0,187899920
2015-03-31,31.1075,0.9954,0.03,0.867,0.104,31.5225,31.6225,31.0888,168077680
2015-04-01,31.0625,-0.533,0.074,0.874,0.052,31.205,31.28,30.775,161852560
